Postcode,Commonwealth Electorate,Rented Households,Postcode Totals,Commonwealth Electorate Totals,Postcode Fraction,Commonwealth Electorate Fraction,POA_NAME_2016,CED_NAME_2016,POA_2016_2021_RATIO,CED_2016_2021_RATIO
2760,Chifley,422,4390,18581,0.09612756264236902,0.02271137183144072,2760,Chifley,1.0,0.9990686
2760,Lindsay,3968,4390,17470,0.903872437357631,0.2271322266742988,2760,Lindsay,1.0,0.9983611
2761,Chifley,2020,2020,18581,1.0,0.10871320165760723,2761,Chifley,1.0,0.9990686
2762,Chifley,96,387,18581,0.24806201550387597,0.005166567999569453,2762,Chifley,0.9999998,0.9990686
2762,Greenway,291,387,14441,0.751937984496124,0.02015095907485631,2762,Greenway,0.9999998,1.0
2763,Chifley,847,2483,18581,0.3411196133709223,0.04558419891286798,2763,Chifley,1.0,0.9990686
2763,Greenway,1636,2483,14441,0.6588803866290778,0.1132885534242781,2763,Greenway,1.0,1.0
2765,Lindsay,78,1187,17470,0.06571187868576242,0.004464796794504866,2765,Lindsay,0.9919364,0.9983611
2765,Berowra,24,1187,6421,0.020219039595619208,0.003737735555209469,2765,Berowra,0.9919364,0.9974888
2765,Mitchell,95,1187,8690,0.08003369839932603,0.01093210586881473,2765,Mitchell,0.9919364,0.9978378
2765,Greenway,684,1187,14441,0.5762426284751474,0.04736514091821896,2765,Greenway,0.9919364,1.0
2765,Macquarie,156,1187,10153,0.13142375737152484,0.015364916773367477,2765,Macquarie,0.9919364,1.0
2765,Chifley,150,1187,18581,0.12636899747262004,0.00807276249932727,2765,Chifley,0.9919364,0.9990686
2766,Chifley,1245,1252,18581,0.994408945686901,0.06700392874441634,2766,Chifley,1.0,0.9990686
2766,McMahon,7,1252,15828,0.005591054313099041,0.0004422542330048016,2766,McMahon,1.0,0.9993712
2767,Chifley,2138,2138,18581,1.0,0.11506377482374469,2767,Chifley,1.0,0.9990686
2768,Greenway,1512,1512,14441,1.0,0.1047018904507998,2768,Greenway,1.0,1.0
2769,Greenway,649,649,14441,1.0,0.04494148604667267,2769,Greenway,1.0,1.0
2770,Chifley,8485,8774,18581,0.9670617734214725,0.45664926537861256,2770,Chifley,1.0,0.9990686
2770,McMahon,289,8774,15828,0.03293822657852747,0.018258781905483953,2770,McMahon,1.0,0.9993712
2773,Macquarie,264,264,10153,1.0,0.02600216684723727,2773,Macquarie,1.0,1.0
2774,Macquarie,664,664,10153,1.0,0.06539938934305131,2774,Macquarie,1.0,1.0
2775,Robertson,24,88,14247,0.2727272727272727,0.0016845651716150768,2775,Robertson,1.0,1.0
2775,Macquarie,28,88,10153,0.3181818181818182,0.0027578055747069833,2775,Macquarie,1.0,1.0
2775,Berowra,36,88,6421,0.4090909090909091,0.005606603332814203,2775,Berowra,1.0,0.9974888
2776,Macquarie,201,201,10153,1.0,0.019797104304146558,2776,Macquarie,1.0,1.0
2777,Macquarie,882,882,10153,1.0,0.08687087560326998,2777,Macquarie,1.0,1.0
2778,Macquarie,76,76,10153,1.0,0.0074854722742046685,2778,Macquarie,1.0,1.0
2779,Macquarie,266,266,10153,1.0,0.02619915295971634,2779,Macquarie,1.0,1.0
2780,Macquarie,1542,1542,10153,1.0,0.15187629272136313,2780,Macquarie,1.0,1.0
2782,Macquarie,449,449,10153,1.0,0.044223382251551265,2782,Macquarie,1.0,1.0
2783,Macquarie,205,205,10153,1.0,0.0201910765291047,2783,Macquarie,1.0,1.0
2784,Macquarie,70,70,10153,1.0,0.0068945139367674576,2784,Macquarie,1.0,1.0
2785,Macquarie,452,457,10153,0.9890590809628009,0.044518861420269874,2785,Macquarie,1.0,1.0
2785,Calare,5,457,15815,0.010940919037199124,0.0003161555485298767,2785,Calare,1.0,0.9999222
2786,Macquarie,91,91,10153,1.0,0.008962868117797696,2786,Macquarie,1.0,1.0
2787,Calare,364,364,15815,1.0,0.023016123932975023,2787,Calare,1.0,0.9999222
2790,Calare,1558,1558,15815,1.0,0.09851406892190957,2790,Calare,1.0,0.9999222
2791,Calare,18,18,15815,1.0,0.0011381599747075561,2791,Calare,1.0,0.9999222
2792,Calare,20,24,15815,0.8333333333333334,0.001264622194119507,2792,Calare,1.0,0.9999222
2792,Riverina,4,24,15491,0.16666666666666666,0.0002582144470983152,2792,Riverina,1.0,0.9995331
2793,Riverina,47,47,15491,1.0,0.003034019753405203,2793,Riverina,1.0,0.9995331
2794,Hume,3,1117,9526,0.0026857654431512983,0.0003149275666596683,2794,Hume,1.0,0.9982563
2794,Riverina,1114,1117,15491,0.9973142345568488,0.07191272351688077,2794,Riverina,1.0,0.9995331
2795,Calare,4389,4389,15815,1.0,0.27752134049952576,2795,Calare,1.0,0.9999222
2797,Calare,13,13,15815,1.0,0.0008220044261776794,2797,Calare,1.0,0.9999222
2798,Calare,102,102,15815,1.0,0.006449573190009485,2798,Calare,1.0,0.9999222
2799,Calare,384,384,15815,1.0,0.02428074612709453,2799,Calare,1.0,0.9999222
2800,Calare,5037,5037,15815,1.0,0.3184950995889978,2800,Calare,1.0,0.9999222
2803,Riverina,12,12,15491,1.0,0.0007746433412949454,2803,Riverina,1.0,0.9995331
2804,Calare,179,201,15815,0.8905472636815921,0.011318368637369586,2804,Calare,1.0,0.9999222
2804,Riverina,22,201,15491,0.10945273631840796,0.0014201794590407333,2804,Riverina,1.0,0.9995331
2805,Riverina,16,16,15491,1.0,0.0010328577883932607,2805,Riverina,1.0,0.9995331
2806,Riverina,7,48,15491,0.14583333333333334,0.00045187528242205153,2806,Riverina,1.0,0.9995331
2806,Calare,41,48,15815,0.8541666666666666,0.002592475497944989,2806,Calare,1.0,0.9999222
2807,Riverina,16,16,15491,1.0,0.0010328577883932607,2807,Riverina,1.0,0.9995331
2808,Riverina,7,7,15491,1.0,0.00045187528242205153,2808,Riverina,1.0,0.9995331
2809,Riverina,4,4,15491,1.0,0.0002582144470983152,2809,Riverina,1.0,0.9995331
2810,Riverina,227,227,15491,1.0,0.014653669872829385,2810,Riverina,1.0,0.9995331
