SED_CODE_2016,SED_NAME_2016,SED_CODE_2021,SED_NAME_2021,RATIO_FROM_2016_TO_2021
10015.0,Canterbury,10015,Canterbury,0.9989494
22607.0,Essendon (Western Metropolitan),22607,Essendon (Western Metropolitan),0.9989382
10014.0,Campbelltown,10014,Campbelltown,0.9989032
10083.0,The Entrance,10083,The Entrance,0.9988655
10060.0,North Shore,10060,North Shore,0.998858
10013.0,Camden,10013,Camden,0.9988115
20302.0,Bass (Eastern Victoria),20302,Bass (Eastern Victoria),0.9987733
30083.0,Toowoomba South,30087,Toowoomba South,0.99876
22005.0,Clarinda (South-Eastern Metropolitan),22005,Clarinda (South-Eastern Metropolitan),0.9987264
25402.0,Morwell (Eastern Victoria),25402,Morwell (Eastern Victoria),0.9986971
70013.0,Goyder (NT),70013,Goyder,0.9986062
10019.0,Clarence,10019,Clarence,0.9985603
28507.0,Werribee (Western Metropolitan),28507,Werribee (Western Metropolitan),0.9985442
28007.0,Sydenham (Western Metropolitan),28007,Sydenham (Western Metropolitan),0.9985302
54605.0,Rockingham (South Metropolitan),54605,Rockingham (South Metropolitan),0.9984957
70010.0,Drysdale,70010,Drysdale,0.9984864
25302.0,Mornington (Eastern Victoria),25302,Mornington (Eastern Victoria),0.9984603
10022.0,Cootamundra,10022,Cootamundra,0.9984328
10005.0,Bankstown,10005,Bankstown,0.9984279
10077.0,Strathfield,10077,Strathfield,0.998406
23308.0,Geelong (Western Victoria),23308,Geelong (Western Victoria),0.9983671
10024.0,Davidson,10024,Davidson,0.9983599
10016.0,Castle Hill,10016,Castle Hill,0.9983124
10084.0,Tweed,10084,Tweed,0.998306
10049.0,Maitland,10049,Maitland,0.9982814
10070.0,Prospect,10070,Prospect,0.9982657
10072.0,Rockdale,10072,Rockdale,0.9982648
10065.0,Parramatta,10065,Parramatta,0.9981568
30074.0,Southern Downs,30077,Southern Downs,0.9980882
22404.0,Eildon (Northern Victoria),22404,Eildon (Northern Victoria),0.9979886
10027.0,East Hills,10027,East Hills,0.9979308
53902.0,Mount Lawley (East Metropolitan),53902,Mount Lawley (East Metropolitan),0.9978839
10044.0,Lane Cove,10044,Lane Cove,0.997843
10073.0,Ryde,10073,Ryde,0.9978012
50202.0,Armadale (East Metropolitan),50202,Armadale (East Metropolitan),0.9977913
10037.0,Hornsby,10037,Hornsby,0.9977373
27708.0,South-West Coast (Western Victoria),27708,South-West Coast (Western Victoria),0.9977094
10018.0,Charlestown,10018,Charlestown,0.9976715
70025.0,Wanguri,70025,Wanguri,0.997662
22501.0,Eltham (Eastern Metropolitan),22501,Eltham (Eastern Metropolitan),0.9976328
10075.0,Shellharbour,10075,Shellharbour,0.9976253
10081.0,Tamworth,10081,Tamworth,0.9976104
24504.0,Macedon (Northern Victoria),24504,Macedon (Northern Victoria),0.9975648
10050.0,Manly,10050,Manly,0.9975309
10017.0,Cessnock,10017,Cessnock,0.9973209
27101.0,Ringwood (Eastern Metropolitan),27101,Ringwood (Eastern Metropolitan),0.9973085
10059.0,Newtown,10059,Newtown,0.9972906
23502.0,Gippsland East (Eastern Victoria),23502,Gippsland East (Eastern Victoria),0.9971445
30084.0,Townsville,30088,Townsville,0.9970881
10008.0,Baulkham Hills,10008,Baulkham Hills,0.9968128
27608.0,South Barwon (Western Victoria),27608,South Barwon (Western Victoria),0.99679
53402.0,Maylands (East Metropolitan),53402,Maylands (East Metropolitan),0.996769
23402.0,Gembrook (Eastern Victoria),23402,Gembrook (Eastern Victoria),0.9965764
23806.0,Hawthorn (Southern Metropolitan),23806,Hawthorn (Southern Metropolitan),0.9964958
30024.0,Cook,30021,Cook,0.9964657
10032.0,Granville,10032,Granville,0.9963767
26102.0,Nepean (Eastern Victoria),26102,Nepean (Eastern Victoria),0.9963585
28203.0,Thomastown (Northern Metropolitan),28203,Thomastown (Northern Metropolitan),0.9963301
27504.0,Shepparton (Northern Victoria),27504,Shepparton (Northern Victoria),0.9963004
20508.0,Bellarine (Western Victoria),20508,Bellarine (Western Victoria),0.9961937
10010.0,Blacktown,10010,Blacktown,0.9961887
